# fueleconomy.gov vehicles dataset, downloaded 2026-05-23, filtered years 2009-2022
year,make,model,mpg_combined,body_type
2009,Honda,Accord,24.0,Large Cars
2009,Honda,Accord Coupe,23.0,Compact Cars
2009,Honda,CR-V 2WD,23.0,Sport Utility Vehicle - 2WD
2009,Honda,CR-V 4WD,22.0,Sport Utility Vehicle - 4WD
2009,Honda,Civic,29.0,Subcompact Cars
2009,Honda,Civic CNG,28.0,Subcompact Cars
2009,Honda,Civic Hybrid,42.0,Compact Cars
2009,Honda,Element 2WD,21.0,Sport Utility Vehicle - 2WD
2009,Honda,Element 4WD,20.5,Sport Utility Vehicle - 4WD
2009,Honda,Fit,30.0,Small Station Wagons
2009,Honda,Odyssey,19.0,Minivan - 2WD
2009,Honda,Pilot 2WD,19.0,Sport Utility Vehicle - 2WD
2009,Honda,Pilot 4WD,18.0,Sport Utility Vehicle - 4WD
2009,Honda,Ridgeline Truck 4WD,17.0,Standard Pickup Trucks 4WD
2009,Honda,S2000,21.0,Two Seaters
2009,Hummer,H3 4WD,16.0,Sport Utility Vehicle - 4WD
2009,Hummer,H3T 4WD,16.0,Standard Pickup Trucks 4WD
2009,Hyundai,Accent,29.0,Compact Cars
2009,Hyundai,Azera,20.5,Large Cars
2009,Hyundai,Elantra,27.5,Midsize Cars
2009,Hyundai,Elantra Touring,26.0,Small Station Wagons
2009,Hyundai,Entourage,18.0,Minivan - 2WD
2009,Hyundai,Genesis,20.0,Large Cars
2009,Hyundai,Santa Fe 2WD,20.0,Sport Utility Vehicle - 2WD
2009,Hyundai,Santa Fe 4WD,19.0,Sport Utility Vehicle - 4WD
2009,Hyundai,Sonata,25.0,Large Cars
2009,Hyundai,Tucson 2WD,22.0,Sport Utility Vehicle - 2WD
2009,Hyundai,Tucson 4WD,20.5,Sport Utility Vehicle - 4WD
2009,Hyundai,Veracruz 2WD,18.0,Sport Utility Vehicle - 2WD
2009,Hyundai,Veracruz 4WD,18.0,Sport Utility Vehicle - 4WD
2009,Infiniti,EX35,19.0,Small Station Wagons
2009,Infiniti,FX35 AWD,18.0,Sport Utility Vehicle - 4WD
2009,Infiniti,FX35 RWD,19.0,Sport Utility Vehicle - 2WD
2009,Infiniti,FX50 AWD,16.0,Sport Utility Vehicle - 4WD
2009,Infiniti,G37,20.5,Midsize Cars
2009,Infiniti,G37 Convertible,19.5,Subcompact Cars
2009,Infiniti,G37 Coupe,20.5,Subcompact Cars
2009,Infiniti,G37x,20.0,Midsize Cars
2009,Infiniti,G37x Coupe,20.0,Subcompact Cars
2009,Infiniti,M35,19.0,Large Cars
2009,Infiniti,M35x,18.0,Large Cars
2009,Infiniti,M45,18.0,Large Cars
2009,Infiniti,M45x,16.0,Large Cars
2009,Infiniti,QX56 2WD,14.0,Sport Utility Vehicle - 2WD
2009,Infiniti,QX56 4WD,14.0,Sport Utility Vehicle - 4WD
2009,Isuzu,Ascender 5-passenger 4WD,16.0,Sport Utility Vehicle - 4WD
2009,Jaguar,Super V8,18.0,Large Cars
2009,Jaguar,Vdp,19.0,Large Cars
2009,Jaguar,XF,19.0,Midsize Cars
2009,Jaguar,XF Supercharged,17.0,Midsize Cars
2009,Jaguar,XJ,19.0,Large Cars
2009,Jaguar,XJ8L,19.0,Large Cars
2009,Jaguar,XJR,18.0,Large Cars
2009,Jaguar,XK,19.0,Minicompact Cars
2009,Jaguar,XK Convertible,19.0,Minicompact Cars
2009,Jaguar,XKR,18.0,Minicompact Cars
2009,Jaguar,XKR Convertible,18.0,Minicompact Cars
2009,Jeep,Commander 2WD,15.5,Sport Utility Vehicle - 2WD
2009,Jeep,Commander 4WD,15.0,Sport Utility Vehicle - 4WD
2009,Jeep,Compass 2WD,24.5,Sport Utility Vehicle - 2WD
2009,Jeep,Compass 4WD,23.5,Sport Utility Vehicle - 4WD
2009,Jeep,Grand Cherokee 2WD,15.5,Sport Utility Vehicle - 2WD
2009,Jeep,Grand Cherokee 4WD,15.0,Sport Utility Vehicle - 4WD
2009,Jeep,Grand Cherokee SRT8 AWD,12.0,Sport Utility Vehicle - 4WD
2009,Jeep,Liberty 2WD,18.0,Sport Utility Vehicle - 2WD
2009,Jeep,Liberty 4WD,17.0,Sport Utility Vehicle - 4WD
2009,Jeep,Patriot 2WD,24.5,Sport Utility Vehicle - 2WD
2009,Jeep,Patriot 4WD,22.0,Sport Utility Vehicle - 4WD
2009,Jeep,Wrangler 2WD,17.0,Sport Utility Vehicle - 2WD
2009,Jeep,Wrangler 4WD,16.5,Sport Utility Vehicle - 4WD
2009,Kia,Amanti,19.0,Large Cars
2009,Kia,Borrego 2WD,18.0,Sport Utility Vehicle - 2WD
2009,Kia,Borrego 4WD,17.5,Sport Utility Vehicle - 4WD
2009,Kia,Optima,25.0,Midsize Cars
2009,Kia,Rio,30.0,Compact Cars
2009,Kia,Rondo,21.5,Midsize Station Wagons
2009,Kia,Sedona,18.0,Minivan - 2WD
2009,Kia,Sorento 2WD,17.5,Sport Utility Vehicle - 2WD
2009,Kia,Sorento 4WD,17.0,Sport Utility Vehicle - 4WD
2009,Kia,Spectra,26.5,Midsize Cars
2009,Kia,Sportage 2WD,22.0,Sport Utility Vehicle - 2WD
2009,Kia,Sportage 4WD,20.5,Sport Utility Vehicle - 4WD
2009,Lamborghini,Gallardo Coupe,15.5,Two Seaters
2009,Lamborghini,Gallardo Spyder,15.0,Two Seaters
2009,Lamborghini,Murcielago,10.5,Two Seaters
2009,Lamborghini,Murcielago Roadster,10.5,Two Seaters
2009,Land Rover,LR2,17.0,Sport Utility Vehicle - 4WD
2009,Land Rover,LR3,14.0,Sport Utility Vehicle - 4WD
2009,Land Rover,Range Rover,14.0,Sport Utility Vehicle - 4WD
2009,Land Rover,Range Rover Sport,14.5,Sport Utility Vehicle - 4WD
2009,Lexus,ES 350,22.0,Midsize Cars
2009,Lexus,GS 350,22.0,Midsize Cars
2009,Lexus,GS 350 AWD,20.0,Midsize Cars
2009,Lexus,GS 450h,23.0,Compact Cars
2009,Lexus,GS 460,20.0,Midsize Cars
2009,Lexus,GX 470,15.0,Sport Utility Vehicle - 4WD
2009,Lexus,IS 250,22.5,Subcompact Cars
2009,Lexus,IS 250 AWD,22.0,Subcompact Cars
2009,Lexus,IS 350,20.0,Subcompact Cars
2009,Lexus,IS F,18.0,Subcompact Cars
2009,Lexus,LS 460,19.0,Midsize Cars
2009,Lexus,LS 460 AWD,18.0,Midsize Cars
2009,Lexus,LS 460 L,19.0,Midsize Cars
2009,Lexus,LS 460 L AWD,18.0,Midsize Cars
2009,Lexus,LS 600h L,21.0,Midsize Cars
2009,Lexus,LX 570,14.0,Sport Utility Vehicle - 4WD
2009,Lexus,RX 350 2WD,20.0,Sport Utility Vehicle - 2WD
2009,Lexus,RX 350 4WD,19.0,Sport Utility Vehicle - 4WD
2009,Lexus,SC 430,19.0,Minicompact Cars
2009,Lincoln,MKS AWD,19.0,Large Cars
2009,Lincoln,MKS FWD,19.0,Large Cars
2009,Lincoln,MKX AWD,18.0,Sport Utility Vehicle - 4WD
2009,Lincoln,MKX FWD,19.0,Sport Utility Vehicle - 2WD
2009,Lincoln,MKZ AWD,19.0,Midsize Cars
2009,Lincoln,MKZ FWD,21.0,Midsize Cars
2009,Lincoln,Navigator 2WD FFV,16.0,Sport Utility Vehicle - 2WD
2009,Lincoln,Town Car FFV,19.0,Large Cars
2009,Lotus,Elise/Exige,22.5,Two Seaters
2009,MINI,Clubman,30.5,Subcompact Cars
2009,MINI,Clubman S,27.5,Subcompact Cars
2009,MINI,Cooper,30.5,Minicompact Cars
2009,MINI,Cooper Convertible,30.5,Minicompact Cars
2009,MINI,Cooper S,27.5,Minicompact Cars
2009,MINI,Cooper S Convertible,28.0,Minicompact Cars
2009,MINI,John Cooper Works,29.0,Minicompact Cars
2009,MINI,John Cooper Works Clubman,29.0,Subcompact Cars
2009,MINI,John Cooper Works Convertible,29.0,Minicompact Cars
2009,Maserati,GranTurismo,15.0,Subcompact Cars
2009,Maserati,Quattroporte,14.0,Large Cars
2009,Maybach,57,12.0,Large Cars
2009,Maybach,57S,12.0,Large Cars
2009,Maybach,62,12.0,Large Cars
2009,Maybach,62S,12.0,Large Cars
2009,Mazda,3,25.0,Compact Cars
2009,Mazda,5,23.5,Minivan - 2WD
2009,Mazda,6,23.0,Midsize Cars
2009,Mazda,B2300 2WD,22.0,Small Pickup Trucks 2WD
2009,Mazda,B4000 4WD,15.5,Small Pickup Trucks 4WD
2009,Mazda,CX-7 2WD,20.0,Sport Utility Vehicle - 2WD
2009,Mazda,CX-7 4WD,18.0,Sport Utility Vehicle - 4WD
2009,Mazda,CX-9 2WD,18.0,Sport Utility Vehicle - 2WD
2009,Mazda,CX-9 4WD,17.0,Sport Utility Vehicle - 4WD
2009,Mazda,MX-5,24.0,Two Seaters
2009,Mazda,RX-8,18.5,Subcompact Cars
2009,Mazda,Speed 3,20.0,Midsize Cars
2009,Mazda,Tribute 4WD,20.5,Sport Utility Vehicle - 4WD
2009,Mazda,Tribute FWD,23.0,Sport Utility Vehicle - 2WD
2009,Mazda,Tribute Hybrid 2WD,32.0,Sport Utility Vehicle - 2WD
2009,Mazda,Tribute Hybrid 4WD,28.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,C300,21.0,Compact Cars
2009,Mercedes-Benz,C300 4matic,20.0,Compact Cars
2009,Mercedes-Benz,C350,20.0,Compact Cars
2009,Mercedes-Benz,C63 AMG,15.0,Compact Cars
2009,Mercedes-Benz,CL550 4matic,17.0,Compact Cars
2009,Mercedes-Benz,CL600,13.0,Compact Cars
2009,Mercedes-Benz,CL63 AMG,14.0,Compact Cars
2009,Mercedes-Benz,CL65 AMG,13.0,Compact Cars
2009,Mercedes-Benz,CLK350,20.0,Subcompact Cars
2009,Mercedes-Benz,CLK350 (Cabriolet),20.0,Subcompact Cars
2009,Mercedes-Benz,CLK550,17.0,Subcompact Cars
2009,Mercedes-Benz,CLK550 (Cabriolet),17.0,Subcompact Cars
2009,Mercedes-Benz,CLS550,16.0,Compact Cars
2009,Mercedes-Benz,CLS63 AMG,14.0,Compact Cars
2009,Mercedes-Benz,E320 Bluetec,26.0,Midsize Cars
2009,Mercedes-Benz,E350,19.0,Midsize Cars
2009,Mercedes-Benz,E350 4matic,18.0,Midsize Cars
2009,Mercedes-Benz,E350 4matic (wagon),18.0,Midsize Station Wagons
2009,Mercedes-Benz,E550,17.0,Midsize Cars
2009,Mercedes-Benz,E550 4matic,16.0,Midsize Cars
2009,Mercedes-Benz,E63 AMG,15.0,Midsize Cars
2009,Mercedes-Benz,E63 AMG (wagon),15.0,Midsize Station Wagons
2009,Mercedes-Benz,G55 AMG,12.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,GL450 4matic,15.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,GL550 4matic,14.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,ML350,18.0,Sport Utility Vehicle - 2WD
2009,Mercedes-Benz,ML350 4matic,17.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,ML550 4matic,15.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,ML63 AMG,12.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,R350 4matic,16.0,Sport Utility Vehicle - 4WD
2009,Mercedes-Benz,S550,17.0,Large Cars
2009,Mercedes-Benz,S550 4matic,17.0,Large Cars
2009,Mercedes-Benz,S600,13.0,Large Cars
2009,Mercedes-Benz,S63 AMG,13.0,Large Cars
2009,Mercedes-Benz,S65 AMG,13.0,Large Cars
2009,Mercedes-Benz,SL550,16.0,Two Seaters
2009,Mercedes-Benz,SL600,14.0,Two Seaters
2009,Mercedes-Benz,SL63 AMG,14.0,Two Seaters
2009,Mercedes-Benz,SL65 AMG,14.0,Two Seaters
2009,Mercedes-Benz,SLK300,20.5,Two Seaters
2009,Mercedes-Benz,SLK350,21.0,Two Seaters
2009,Mercedes-Benz,SLK55 AMG,17.0,Two Seaters
2009,Mercedes-Benz,SLR,13.0,Two Seaters
